#    ID   RA            Dec        F814W   F555W
#         [deg]         [deg]
    443   161.751665    17.288674  28.258  28.937
    444   161.752997    17.292362  29.119  28.918
    445   161.752592    17.291234  28.385  29.207
    446   161.749222    17.281882  28.124  31.003
    447   161.743926    17.267180  29.143  31.271
    448   161.743006    17.264623  29.062  31.153
    449   161.748666    17.280333  28.475  30.106
    450   161.751272    17.287561  28.288  28.640
    451   161.750612    17.285719  27.200  28.995
    452   161.751018    17.286844  28.313  28.526
    453   161.752927    17.292140  27.609  30.322
    454   161.750201    17.284574  27.935  29.687
    455   161.754242    17.295785  28.212  28.182
    456   161.751985    17.289522  26.399  28.998
    457   161.744642    17.269140  28.581  30.138
    458   161.754465    17.296403  27.252  27.411
    459   161.750180    17.284511  26.776  29.811
    460   161.753295    17.293152  28.350  29.994
    461   161.750414    17.285150  28.717  29.608
    462   161.755667    17.299727  28.127  30.771
    463   161.749788    17.283408  29.054  30.912
    464   161.750138    17.284379  28.904  30.800
    465   161.752547    17.291065  28.927  30.940
    466   161.749084    17.281450  28.436  29.360
    467   161.749780    17.283379  28.219  29.470
    468   161.751503    17.288159  29.030  29.280
    469   161.749029    17.281294  27.846  31.308
    470   161.753290    17.293119  28.635  31.047
    471   161.754155    17.295514  27.973  29.794
    472   161.751116    17.287079  25.874  27.760
    473   161.751358    17.287749  26.570  29.140
    474   161.753716    17.294289  27.842  27.960
    475   161.750849    17.286332  28.082  30.486
    476   161.752659    17.291350  28.034  29.866
    477   161.753920    17.294839  28.224  28.247
    478   161.753657    17.294108  28.178  30.395
    479   161.749541    17.282684  28.561  30.062
    480   161.749051    17.281321  28.383  29.667
    481   161.752828    17.291802  28.019  30.478
    482   161.751497    17.288111  28.824  30.397
    483   161.752367    17.290522  29.077  29.323
    484   161.750410    17.285089  27.786  29.449
    485   161.752229    17.290135  25.632  27.508
    486   161.744252    17.267994  28.469  30.515
    487   161.752955    17.292148  28.711  29.998
    488   161.750765    17.286066  27.267  27.182
    489   161.747633    17.277371  28.765  29.817
    490   161.752201    17.290044  27.494  30.134
    491   161.752127    17.289839  29.033  30.338
    492   161.753370    17.293284  28.770  29.618
    493   161.751295    17.287524  28.576  29.371
    494   161.751993    17.289461  28.733  28.586
    495   161.753058    17.292415  28.607  29.486
    496   161.748760    17.280483  29.142  30.592
    497   161.756252    17.301270  27.947  29.687
    498   161.747096    17.275854  27.823  29.809
    499   161.748943    17.280975  28.645  29.472
    500   161.751029    17.286758  28.296  28.925
    501   161.748561    17.279902  28.792  30.257
    502   161.753374    17.293259  28.865  29.955
    503   161.755848    17.300122  28.318  30.312
    504   161.751346    17.287629  28.122  28.617
    505   161.746636    17.274557  26.989  29.646
    506   161.751107    17.286962  28.282  27.636
    507   161.747088    17.275806  28.553  30.224
    508   161.749823    17.283397  29.022  31.136
    509   161.744557    17.268777  28.259  29.562
    510   161.751763    17.288776  26.874  27.137
    511   161.751030    17.286729  28.473  27.938
    512   161.751612    17.288343  28.522  28.947
    513   161.749280    17.281870  28.310  30.817
    514   161.741511    17.260304  28.758  29.420
    515   161.752670    17.291275  27.587  29.159
    516   161.754105    17.295253  27.654  29.456
    517   161.748590    17.279947  28.527  30.243
    518   161.745676    17.271854  28.187  30.579
    519   161.753559    17.293720  28.801  29.704
    520   161.753032    17.292253  28.850  29.817
    521   161.752996    17.292152  28.338  29.218
    522   161.753183    17.292670  27.569  29.018
    523   161.750658    17.285660  28.313  28.768
    524   161.751703    17.288559  28.011  29.009
    525   161.750459    17.285102  27.128  29.321
    526   161.752864    17.291776  26.584  29.860
    527   161.747406    17.276621  29.068  30.374
    528   161.749934    17.283636  27.729  31.138
    529   161.749949    17.283674  28.580  29.953
    530   161.752932    17.291950  27.175  29.716
    531   161.752193    17.289897  28.377  30.495
    532   161.748624    17.279990  28.601  29.587
    533   161.753271    17.292887  28.449  29.662
    534   161.754512    17.296329  27.261  30.497
    535   161.749278    17.281804  28.982  30.580
    536   161.750110    17.284108  27.864  29.783
    537   161.751008    17.286597  27.502  27.557
    538   161.751382    17.287635  28.401  29.220
    539   161.753968    17.294809  28.718  29.923
    540   161.744772    17.269282  28.670  30.305
    541   161.753155    17.292546  27.966  30.371
    542   161.752966    17.292020  28.773  30.146
    543   161.749719    17.283008  28.037  28.532
    544   161.755911    17.300180  28.485  28.626
    545   161.744641    17.268901  28.805  30.278
    546   161.746691    17.274591  28.611  29.822
    547   161.751313    17.287418  28.801  29.510
    548   161.751335    17.287478  28.631  29.604
    549   161.750094    17.284033  28.155  29.124
    550   161.748258    17.278932  29.045  30.805
    551   161.751153    17.286964  26.654  26.862
    552   161.750453    17.285019  28.001  28.197
    553   161.753364    17.293097  28.609  29.622
    554   161.758079    17.306180  29.042  30.690
    555   161.747830    17.277734  29.064  30.645
    556   161.747506    17.276825  29.063  30.471
    557   161.754660    17.296677  28.179  30.903
    558   161.743190    17.264834  28.629  31.055
    559   161.751853    17.288877  27.493  30.422
    560   161.749500    17.282345  28.706  29.239
    561   161.751006    17.286521  28.169  28.156
    562   161.748145    17.278580  28.300  29.653
    563   161.756397    17.301478  28.133  29.749
    564   161.744680    17.268959  28.910  30.321
    565   161.750147    17.284130  27.329  29.900
    566   161.754817    17.297089  28.925  30.467
    567   161.751952    17.289136  27.485  27.908
    568   161.759039    17.308800  28.687  29.622
    569   161.751926    17.289060  26.389  27.973
    570   161.753748    17.294113  28.923  29.673
    571   161.753336    17.292971  28.541  30.153
    572   161.756003    17.300370  27.540  28.929
    573   161.752339    17.290196  23.957  26.261
    574   161.750550    17.285223  27.403  28.770
    575   161.746524    17.274049  28.792  30.200
    576   161.750530    17.285163  28.505  29.796
    577   161.752147    17.289641  27.641  27.516
    578   161.753633    17.293762  28.802  31.022
    579   161.751454    17.287716  28.095  30.612
    580   161.752449    17.290475  28.058  31.011
    581   161.751112    17.286763  26.842  29.139
    582   161.749811    17.283152  27.215  28.354
    583   161.743500    17.265634  28.182  31.176
    584   161.750543    17.285184  27.878  29.715
    585   161.749886    17.283358  27.715  29.630
    586   161.755683    17.299444  28.951  30.401
    587   161.753450    17.293247  28.998  29.781
    588   161.753121    17.292334  27.933  30.456
    589   161.758795    17.308075  28.629  31.004
    590   161.751063    17.286607  28.144  28.279
    591   161.751572    17.288012  27.729  30.058
    592   161.750808    17.285882  28.290  29.493
    593   161.741600    17.260321  28.548  29.778
    594   161.752012    17.289220  27.965  27.646
    595   161.749302    17.281697  29.097  30.541
    596   161.750931    17.286218  28.703  28.883
    597   161.753535    17.293444  27.553  30.253
    598   161.751426    17.287588  28.818  29.612
    599   161.752850    17.291538  28.154  29.646
    600   161.753815    17.294216  28.414  29.285
    601   161.741509    17.260052  27.823  29.070
    602   161.748549    17.279593  27.873  29.521
    603   161.752684    17.291068  28.317  29.979
    604   161.750982    17.286342  27.111  28.335
    605   161.744798    17.269172  28.533  30.943
    606   161.752717    17.291147  28.849  29.681
    607   161.752488    17.290512  27.211  29.429
    608   161.744150    17.267371  27.849  30.091
    609   161.749045    17.280957  27.799  27.886
    610   161.755858    17.299861  27.997  30.121
    611   161.748784    17.280226  27.765  29.720
    612   161.750158    17.284039  28.402  29.897
    613   161.753611    17.293613  28.797  29.058
    614   161.753525    17.293370  28.254  29.225
    615   161.751585    17.287986  28.223  29.556
    616   161.751897    17.288849  27.758  27.844
    617   161.742063    17.261552  29.003  30.011
    618   161.748770    17.280168  28.563  29.861
    619   161.755540    17.298954  28.249  30.575
    620   161.753920    17.294458  27.639  29.350
    621   161.753016    17.291941  28.050  29.315
    622   161.751044    17.286466  27.422  31.287
    623   161.755806    17.299676  28.615  31.259
    624   161.748503    17.279409  28.431  30.435
    625   161.751681    17.288227  28.440  30.398
    626   161.754986    17.297399  29.088  30.120
    627   161.751301    17.287165  27.660  28.963
    628   161.747256    17.275937  28.186  30.665
    629   161.753915    17.294417  26.672  27.023
    630   161.753044    17.291998  26.429  29.323
    631   161.752049    17.289231  27.438  27.843
    632   161.753890    17.294337  28.165  30.023
    633   161.752866    17.291496  27.359  29.094
    634   161.744553    17.268424  28.372  29.869
    635   161.752299    17.289919  28.363  28.987
    636   161.749815    17.283023  27.646  29.995
    637   161.748063    17.278157  28.474  31.140
    638   161.748849    17.280333  28.257  28.354
    639   161.756036    17.300277  28.981  30.471
    640   161.751587    17.287929  28.615  29.378
    641   161.750882    17.285974  26.222  26.356
    642   161.750869    17.285934  25.380  27.419
    643   161.754182    17.295125  26.947  28.841
    644   161.754207    17.295191  28.433  28.462
    645   161.754339    17.295556  28.911  30.165
    646   161.753011    17.291870  27.761  29.002
    647   161.745231    17.270272  28.716  29.394
    648   161.753378    17.292879  26.745  28.689
    649   161.753432    17.293029  27.816  29.659
    650   161.752928    17.291627  28.528  29.978
    651   161.752504    17.290448  28.036  27.996
    652   161.750577    17.285099  27.624  29.409
    653   161.749686    17.282626  28.826  30.697
    654   161.753449    17.293069  28.053  28.711
    655   161.750333    17.284421  28.922  30.758
    656   161.751339    17.287212  28.328  29.686
    657   161.757418    17.304077  28.587  30.261
    658   161.750224    17.284113  28.843  29.579
    659   161.751312    17.287134  26.248  27.993
    660   161.755709    17.299332  26.499  28.625
